Team_Line,Players
colorado-avalanche_Line 1,"['Jonathan Drouin', 'Nathan MacKinnon', 'Mikko Rantanen']"
colorado-avalanche_Line 2,"['Nikolai Kovalenko', 'Casey Mittelstadt', 'Calum Ritchie']"
colorado-avalanche_Line 3,"['Miles Wood', 'Ross Colton', ""Logan O'Connor""]"
colorado-avalanche_Line 4,"['Joel Kiviranta', 'Parker Kelly', 'Chris Wagner']"
colorado-avalanche_Defensive Pairing 1,"['Devon Toews', 'Cale Makar']"
colorado-avalanche_Defensive Pairing 2,"['Samuel Girard', 'Josh Manson']"
colorado-avalanche_Defensive Pairing 3,"['Erik Brannstrom', 'Sam Malinski']"
colorado-avalanche_Powerplay,"['Mikko Rantanen', 'Casey Mittelstadt', 'Jonathan Drouin', 'Nathan MacKinnon', 'Cale Makar']"
boston-bruins_Line 1,"['Pavel Zacha', 'Elias Lindholm', 'David Pastrnak']"
boston-bruins_Line 2,"['Brad Marchand', 'Charlie Coyle', 'Morgan Geekie']"
boston-bruins_Line 3,"['Max Jones', 'Trent Frederic', 'Justin Brazeau']"
boston-bruins_Line 4,"['John Beecher', 'Mark Kastelic', 'Cole Koepke']"
boston-bruins_Defensive Pairing 1,"['Hampus Lindholm', 'Charlie McAvoy']"
boston-bruins_Defensive Pairing 2,"['Mason Lohrei', 'Brandon Carlo']"
boston-bruins_Defensive Pairing 3,"['Nikita Zadorov', 'Andrew Peeke']"
boston-bruins_Powerplay,"['Pavel Zacha', 'Elias Lindholm', 'Brad Marchand', 'David Pastrnak', 'Charlie McAvoy']"
toronto-maple-leafs_Line 1,"['Matthew Knies', 'Auston Matthews', 'Mitch Marner']"
toronto-maple-leafs_Line 2,"['Max Domi', 'John Tavares', 'William Nylander']"
toronto-maple-leafs_Line 3,"['Max Pacioretty', 'Pontus Holmberg', 'Bobby McMann']"
toronto-maple-leafs_Line 4,"['Steven Lorentz', 'David Kampf', 'Ryan Reaves']"
toronto-maple-leafs_Defensive Pairing 1,"['Morgan Rielly', 'Chris Tanev']"
toronto-maple-leafs_Defensive Pairing 2,"['Oliver Ekman-Larsson', 'Jake McCabe']"
toronto-maple-leafs_Defensive Pairing 3,"['Simon Benoit', 'Conor Timmins']"
toronto-maple-leafs_Powerplay,"['Mitch Marner', 'John Tavares', 'William Nylander', 'Auston Matthews', 'Morgan Rielly']"
ottawa-senators_Line 1,"['Brady Tkachuk', 'Tim Stützle', 'Claude Giroux']"
ottawa-senators_Line 2,"['Ridly Greig', 'Josh Norris', 'Drake Batherson']"
ottawa-senators_Line 3,"['David Perron', 'Shane Pinto', 'Michael Amadio']"
ottawa-senators_Line 4,"['Noah Gregor', 'Zack Ostapchuk', 'Nick Cousins']"
ottawa-senators_Defensive Pairing 1,"['Jake Sanderson', 'Artem Zub']"
ottawa-senators_Defensive Pairing 2,"['Thomas Chabot', 'Nick Jensen']"
ottawa-senators_Defensive Pairing 3,"['Tyler Kleven', 'Carter Yakemchuk']"
ottawa-senators_Powerplay,"['Brady Tkachuk', 'Tim Stützle', 'Drake Batherson', 'Jake Sanderson', 'Josh Norris']"
nashville-predators_Line 1,"['Filip Forsberg', ""Ryan O'Reilly"", 'Gustav Nyquist']"
nashville-predators_Line 2,"['Steven Stamkos', 'Tommy Novak', 'Jonathan Marchessault']"
nashville-predators_Line 3,"['Luke Evangelista', 'Colton Sissons', 'Philip Tomasino']"
nashville-predators_Line 4,"['Mark Jankowski', 'Michael McCarron', 'Cole Smith']"
nashville-predators_Defensive Pairing 1,"['Brady Skjei', 'Roman Josi']"
nashville-predators_Defensive Pairing 2,"['Jeremy Lauzon', 'Alexandre Carrier']"
nashville-predators_Defensive Pairing 3,"['Tanner Molendyk', 'Luke Schenn']"
nashville-predators_Powerplay,"['Filip Forsberg', ""Ryan O'Reilly"", 'Jonathan Marchessault', 'Steven Stamkos', 'Roman Josi']"
montreal-canadiens_Line 1,"['Cole Caufield', 'Nick Suzuki', 'Juraj Slafkovsky']"
montreal-canadiens_Line 2,"['Alex Newhook', 'Kirby Dach', 'Joel Armia']"
montreal-canadiens_Line 3,"['Joshua Roy', 'Christian Dvorak', 'Josh Anderson']"
montreal-canadiens_Line 4,"['Brendan Gallagher', 'Jake Evans', 'Emil Heineman']"
montreal-canadiens_Defensive Pairing 1,"['Mike Matheson', 'Kaiden Guhle']"
montreal-canadiens_Defensive Pairing 2,"['Lane Hutson', 'David Savard']"
montreal-canadiens_Defensive Pairing 3,"['Arber Xhekaj', 'Justin Barron']"
montreal-canadiens_Powerplay,"['Juraj Slafkovsky', 'Nick Suzuki', 'Alex Newhook', 'Cole Caufield', 'Mike Matheson']"
tampa-bay-lightning_Line 1,"['Jake Guentzel', 'Brayden Point', 'Nikita Kucherov']"
tampa-bay-lightning_Line 2,"['Brandon Hagel', 'Anthony Cirelli', 'Cam Atkinson']"
tampa-bay-lightning_Line 3,"['Michael Eyssimont', 'Nicholas Paul', 'Conor Sheary']"
tampa-bay-lightning_Line 4,"['Zemgus Girgensons', 'Luke Glendening', 'Mitchell Chaffee']"
tampa-bay-lightning_Defensive Pairing 1,"['Victor Hedman', 'J.J. Moser']"
tampa-bay-lightning_Defensive Pairing 2,"['Ryan McDonagh', 'Erik Cernak']"
tampa-bay-lightning_Defensive Pairing 3,"['Darren Raddysh', 'Nick Perbix']"
tampa-bay-lightning_Powerplay,"['Jake Guentzel', 'Brayden Point', 'Nikita Kucherov', 'Darren Raddysh', 'Victor Hedman']"
new-york-rangers_Line 1,"['Artemi Panarin', 'Vincent Trocheck', 'Alexis Lafrenière']"
new-york-rangers_Line 2,"['Chris Kreider', 'Mika Zibanejad', 'Reilly Smith']"
new-york-rangers_Line 3,"['Will Cuylle', 'Filip Chytil', 'Kaapo Kakko']"
new-york-rangers_Line 4,"['Jonny Brodzinski', 'Sam Carrick', 'Matt Rempe']"
new-york-rangers_Defensive Pairing 1,"['Ryan Lindgren', 'Adam Fox']"
new-york-rangers_Defensive Pairing 2,"[""K'Andre Miller"", 'Jacob Trouba']"
new-york-rangers_Defensive Pairing 3,"['Zac Jones', 'Braden Schneider']"
new-york-rangers_Powerplay,"['Chris Kreider', 'Vincent Trocheck', 'Artemi Panarin', 'Mika Zibanejad', 'Adam Fox']"
